1789212736998	asr	pt2ru	Sei quem é meu inimigo. A que horas começa a prova?	Я знаю, кто мой враг. Во сколько начинается экзамен?	словарь+MT (2/2) · без озвучки	4002.0	-33.8	-51.3	17.5	1789212735727	1263	6
1789212750985	asr	pt2ru	Comer em excesso é ruim para a saúde. O inglês não é fácil para mim.	Чрезмерное питание вредно для здоровья. Мне трудно даётся английский.	словарь+MT (2/2) · без озвучки	4866.0	-30.5	-50.1	19.6	1789212750525	456	3
1789212754775	skip_lang	pt2ru	Нет, я же говорил, он будет говорить.		0.00	2946.0	-31.1	-48.6	17.5	1789212754522	250	0
1789212767988	asr	pt2ru	Ele é famoso como médium. A cidade mudou consideravelmente durante esses dois últimos anos.	Он известен как медиум. Город значительно изменился за последние годы 2.	MT (2 фразы) · маска×1 · без озвучки	6882.0	-29.5	-47.2	17.8	1789212766939	506	541
1789212781311	asr	pt2ru	Fasta claro. Que diabos vocês estão fazendo?	Фаста, конечно. Что вы делаете?	MT (2 фразы) · без озвучки	3362.0	-31.0	-44.9	13.9	1789212780730	443	136
1789212796226	asr	pt2ru	Todos dizem que são inocentes. Tive que esperar mais de três horas.	Все говорят, что они невиновны. Мне пришлось ждать 3 больше часа.	MT (2 фразы) · маска×1 · без озвучки	4834.0	-27.5	-43.1	15.7	1789212795475	568	180
1789212824754	skip_short	pt2ru	Six.			1122.0	-39.0	-42.4	3.4	1789212824463	290	0
1789212839101	asr	pt2ru	Esperi por 10 minutos. Ela vai me matar.	Я просмотрел 10 минут. Она меня убьет.	словарь+MT (1/2) · маска×1 · без озвучки	4322.0	-35.8	-41.9	6.1	1789212838472	316	311
1789212840817	skip_short	pt2ru	Yeah.			1378.0	-38.8	-41.6	2.9	1789212840674	140	0
1789212864099	silence	pt2ru				514.0	-35.9	-41.0	5.0	1789212863675	422	0
1789212867472	asr	pt2ru	Você sabe onde moramos?	Ты знаешь, где мы живем?	📖 корпус · без озвучки	2210.0	-34.8	-40.3	5.5	1789212867270	197	3
1789212883194	asr	pt2ru	superior da mutência.	выше мутации.	MT · без озвучки	2082.0	-38.0	-40.4	2.4	1789212882871	173	148
1789212900385	asr	pt2ru	Eu quero que você use isso.	Я хочу, чтобы ты надел это.	📖 корпус · без озвучки	6210.0	-39.9	-41.7	1.8	1789212899873	510	1
1789212901549	silence	pt2ru				642.0	-33.0	-41.2	8.2	1789212901478	69	0
1789212935172	asr	pt2ru	No ajuda.	Не помогает.	MT · без озвучки	11778.0	-37.0	-40.2	3.2	1789212933886	1010	273
