1789221047713	silence	pt2ru				3008.0	-39.5	-66.3	26.8	1789221046797	914	0
1789221049747	skip_lang	pt2ru	Maybe that's it.		0.00	1408.0	-37.1	-61.2	24.2	1789221049597	148	0
1789221053023	asr	pt2ru	Sei quem é meu inimigo.	Я знаю, кто мой враг.	📖 корпус · без озвучки	2944.0	-32.4	-58.9	26.5	1789221052802	217	1
1789221059059	asr	pt2ru	Hora começa a prova?	Время для экзамена?	MT · без озвучки	3136.0	-28.0	-52.0	24.0	1789221058397	237	423
1789221062363	asr	pt2ru	em excesso é ruim para a saúde.	Слишком много вредно для здоровья.	📖 выучено · без озвучки	1984.0	-25.3	-49.2	23.8	1789221062193	167	1
1789221067667	asr	pt2ru	em inglês não é fácil pra mim.	По-английски это не так просто.	MT · без озвучки	1792.0	-25.5	-47.3	21.7	1789221067398	164	102
1789221073615	asr	pt2ru	Ele é famoso como médico.	Он известен как врач.	📖 корпус · без озвучки	2528.0	-29.0	-46.1	17.1	1789221073404	208	1
1789221080574	asr	pt2ru	A cidade mudou consideravelmente durante esses dois últimos anos.	Город значительно изменился за последние годы 2.	MT · маска×1 · без озвучки	4000.0	-25.6	-44.8	19.2	1789221080196	280	96
1789221085804	asr	pt2ru	É vasto e claro.	Она обширна и ясна.	выучено (3×) · без озвучки	1440.0	-30.3	-44.4	14.1	1789221085599	126	77
1789221090585	asr	pt2ru	Que diabo você está fazendo?	Какого черта ты делаешь?	MT (2×) · без озвучки	1312.0	-27.3	-44.1	16.8	1789221090402	120	62
1789221096359	asr	pt2ru	Todos dizem que são inocentes.	Все говорят, что они невиновны.	📖 выучено · без озвучки	2016.0	-25.8	-44.2	18.4	1789221096199	158	0
1789221101854	asr	pt2ru	Tive que esperar mais de três horas.	Мне пришлось ждать 3 больше часа.	MT · маска×1 · без озвучки	2112.0	-26.5	-44.0	17.4	1789221101599	168	85
1789221107096	asr	pt2ru	Vocês têm aula sábado?	У вас занятия в субботу?	📖 выучено · без озвучки	1504.0	-26.8	-43.8	17.1	1789221106593	496	4
1789221111634	asr	pt2ru	você está falando.	Ты говоришь.	MT · без озвучки	1184.0	-29.4	-43.8	14.4	1789221111404	101	127
1789221117701	asr	pt2ru	francês é a língua materna dela.	Французский язык является ее родным языком.	MT (2×) · без озвучки	2432.0	-28.9	-43.7	14.8	1789221117401	209	89
1789221123221	asr	pt2ru	O velho falou comigo em francês.	Старик говорил со мной по-французски.	📖 корпус · без озвучки	2304.0	-28.7	-43.3	14.6	1789221122998	220	1
1789221128438	asr	pt2ru	Esperi por 10 minutos.	Я просмотрел 10 минут.	MT · маска×1 · без озвучки	1984.0	-27.0	-43.0	16.0	1789221128210	147	80
1789221131299	skip_short	pt2ru	Mm-hmm.			1120.0	-35.8	-41.9	6.2	1789221131196	99	0
1789221133549	asr	pt2ru	Ela vai me matar.	Она меня убьет.	📖 корпус · без озвучки	1792.0	-24.2	-41.9	17.7	1789221133403	142	1
1789221138569	asr	pt2ru	vocês estão falando.	Вы разговариваете.	MT · без озвучки	1248.0	-32.6	-42.5	9.9	1789221138402	93	72
1789221144603	asr	pt2ru	do tarde para se aprender.	Днем учиться.	MT · без озвучки	1344.0	-33.7	-41.9	8.2	1789221144392	135	74
1789221155338	asr	pt2ru	Você sabe onde moramos?	Ты знаешь, где мы живем?	📖 корпус · без озвучки	1696.0	-24.1	-41.7	17.7	1789221155202	135	0
1789221168144	asr	pt2ru	A parte superior da montanha está coberta de neve.	Верхняя часть горы покрыта снегом.	📖 корпус · без озвучки	4032.0	-30.5	-40.7	10.2	1789221167594	547	1
1789221173131	asr	pt2ru	Preciso ir dormir.	Мне пора идти спать.	📖 корпус · без озвучки	1408.0	-30.0	-40.8	10.9	1789221173002	126	1
1789221178525	asr	pt2ru	Eu quero que você use isso.	Я хочу, чтобы ты надел это.	📖 корпус · без озвучки	1664.0	-28.1	-41.9	13.7	1789221178394	128	1
1789221183520	asr	pt2ru	Eu sei o que fiz.	Я знаю, что я сделал.	📖 корпус · без озвучки	1504.0	-25.1	-42.4	17.3	1789221183401	116	0
1789221189700	skip_lang	pt2ru	Absolutely voluntary.		0.00	1056.0	-27.8	-41.5	13.7	1789221189596	101	0
